r: 8, b: 26, w: 1
r: 9, b: 25, w: 1
r: 10, b: 24, w: 1
r: 11, b: 23, w: 1
r: 12, b: 22, w: 1
r: 13, b: 21, w: 1
r: 14, b: 20, w: 1
r: 15, b: 19, w: 1
r: 16, b: 18, w: 1
r: 17, b: 17, w: 1
r: 18, b: 16, w: 1
r: 19, b: 15, w: 1
r: 20, b: 14, w: 1
r: 21, b: 13, w: 1
r: 22, b: 12, w: 1
r: 23, b: 11, w: 1
r: 24, b: 10, w: 1
r: 25, b: 9, w: 1
r: 26, b: 8, w: 1
r: 27, b: 7, w: 1
r: 28, b: 6, w: 1
r: 29, b: 5, w: 1
r: 30, b: 4, w: 1
r: 31, b: 3, w: 1
r: 32, b: 2, w: 1
r: 33, b: 1, w: 1
